Pays;Population totale;Taux de natalité;Taux de mortalité;Espérance de vie;Taux de mortalité infantile;Nombre d’enfant(s) par femme;Taux de croissance;Population de 65 ans et plus
Burundi;12 329;41,8;10,4;58,2;70,3;5,62;32;319
Comores;845;31,9;7;64,3;51,6;4,2;22,5;25
Djibouti;923;23,6;8,5;62,9;49,9;2,96;12,8;40
Erythrée;5 617;31,4;6;65,3;36,2;3,99;24,2;152
Ethiopie;106 863;30,4;6,7;66;41,8;3,93;23,7;3 804
Kenya;49 695;32,5;7,5;63,4;47,6;4,07;24,8;1 485
Madagascar;26 326;33,5;6,1;66,6;29,1;4,18;27,4;785
Malawi;18 861;37,3;6,7;66,1;50,9;4,84;30,1;646
Maurice;1 285;10,8;8;75,1;10,1;1,43;2,7;140
Mayotte;260;28;2,4;80,8;3,3;3,69;25,7;10
Mozambique;30 339;37,6;10,7;56,4;56,1;5,09;26,7;1 030
Ouganda;43 021;41,2;8,5;61,1;55,6;5,41;32,2;1 062
Réunion;880;14,1;5,9;80,9;3,3;2,11;7;102
Rwanda;12 439;29,2;6,3;66,3;41,8;3,57;22,5;375
Seychelles;98;15,5;7,7;73,8;8,1;2,21;4,6;7
Somalie;11 723;42,7;11,2;56,7;69,3;6,07;28,8;333
Sud Soudan;13 439;35,3;10,7;57,3;67;4,69;25,3;458
Tanzanie;58 637;37,2;6,2;66,7;30,9;4,89;30,3;1 883
Zambie;17 773;38,6;7,9;62,5;45,5;5,11;30,5;508
Zimbabwe;16 713;32,1;7,7;62,6;38,6;3,63;22,6;495
Angola;27 498;43,6;12,6;53,9;86,8;5,75;31;658
Cameroun;25 112;34,7;10,5;57,2;64,6;4,42;24;805
Centrafricaine (République);5 201;32,2;12,9;53,5;82,7;3,98;19,8;202
Congo;4 996;34,5;7,7;64,2;42,8;4,62;26,2;186
Congo (Rép. dém. du) (ex-Zaïre);84 825;40,2;9,5;60,1;65,4;5,62;30,8;2 520
Gabon;1 840;28,2;7,8;66,2;36,7;3,65;20,9;92
Guinée équatoriale;920;33,3;10,2;58,8;61,2;4,48;27,5;29
Sao Tomé-et-Principe;203;32;6,5;67;41;4,33;20,5;6
Tchad;15 444;43,4;13,1;52,7;85,9;5,74;31,3;383
Algérie;41 730;21,3;5,1;75,7;24,8;2,61;15,7;2 706
Egypte;97 007;25;5,9;71,9;15,3;3,16;18,3;5 204
Libye;6 505;18,5;5,4;72,3;20,7;2,3;15,1;315
Maroc;35 652;19;5,7;75;20,3;2,37;11,4;2 400
Sahara occidental;608;17;5,6;69,5;30,1;2,05;19,5;21
Soudan;43 196;31,5;7,4;64,4;47,9;4,1;24,1;1 493
Tunisie;11 612;16,9;6,6;75,5;16,3;2,07;9,9;958
Afrique du Sud;55 867;19,6;12,6;57,9;32,9;2,27;7,5;2 957
Botswana;2 383;23;7,6;64,9;28,4;2,66;16,3;93
Lesotho;2 210;27,5;14,5;50,7;49,1;2,99;11;93
Namibie;2 623;28;7;65,5;28,5;3,29;20,6;96
Swaziland;1 336;28,1;14,8;48,9;57,2;3,03;11,6;50
Bénin;11 755;34,4;8,9;60,4;62,7;4,46;25,4;345
Burkina Faso;19 724;38,2;8,7;60;57,6;5,19;28,2;471
Cap-Vert;540;20;5,1;74,3;17;2,17;12;25
Côte d'Ivoire;24 387;36,1;12,6;53;61,8;4,74;23,7;743
Gambie;2 187;40,2;8,1;61,2;42,1;5,51;30,9;51
Ghana;29 280;30,5;8,4;62,1;46,5;3,93;21,3;990
Guinée;13 639;35;9;60,4;49,3;4,7;25,8;434
Guinée-Bissau;1 978;35,1;11,3;56,3;81,4;4,53;22,7;66
Libéria;4 849;33,4;8;62,2;51,5;4,44;24,6;148
Mali;19 264;41,2;9,1;60;68,9;5,88;30,2;482
Mauritanie;4 368;31,9;7,7;63,7;62;4,36;23,3;144
Niger;22 445;48,4;8,2;63,1;49,5;7,43;40,1;581
Nigéria;196 753;37,7;12,1;53,9;66,7;5,38;25,2;5 403
Sénégal;16 524;35,5;5,5;68;32,6;4,81;28,7;482
Sierra Leone;6 875;33,8;12,6;52,3;79,6;4,22;20,7;186
Togo;7 890;33,6;8,1;61,3;41,2;4,31;25,3;223
Antigua-et-Barbuda;95;15,9;6,1;76,7;7,6;2,03;9,7;7
Aruba;105;10;9,1;76,1;13,6;1,62;2,6;14
Bahamas;401;14,5;6,5;76;7,7;1,83;10,4;37
Barbade;286;11,8;10,9;76,3;7,9;1,8;2,3;44
Cuba;11 383;9,6;8,3;80,1;4,7;1,58;-0,7;1 745
Curaçao;161;13,2;8,7;78,7;8,9;2,06;7,9;26
Dominicaine (République);10 882;19,5;6,2;74,2;22,2;2,36;10,5;779
Grenade;108;18,1;7,1;74;8,4;2,07;4,8;8
Guadeloupe;474;12,2;7,3;82,1;4,6;2,1;3,6;76
Haïti;11 117;23,5;8,4;64;41;2,82;11,9;544
Îles Vierges américaines;107;12,7;8,2;81,3;8,4;2,17;1,5;21
Jamaïque;2 823;16,6;7,1;76,2;13,1;1,98;3,3;273
Martinique;396;10,6;9,1;82,7;5;1,87;-1,1;83
Porto Rico;3 678;11,3;8;80,3;5,3;1,58;-0,3;566
Sainte Lucie;189;14,3;7,3;75,6;9,5;1,81;7,2;18
St Vincent-et-les-Grenadines;110;15;7,4;73,4;15,1;1,89;2,7;9
Trinité-et-Tobago;1 373;12,9;9,9;70,8;22,7;1,73;2,3;142
Belize;382;22,1;5,5;70,5;12,2;2,45;20,3;15
Costa Rica;4 953;13,8;5,1;80,2;8;1,75;9,4;483
Guatemala;17 340;25,6;5,3;72,7;18,3;3,01;19,4;880
Honduras;8 420;20,1;5;73,9;24;2,23;13,7;443
